date,index,close_gt_sma50,close_gt_sma200
2016-02-19,19285.5,14.583333333333336,6.25
2016-02-22,19464.089844,35.41666666666667,6.25
2016-02-23,19414.779297,29.16666666666667,6.25
2016-02-24,19192.449219,20.833333333333336,6.25
2016-02-25,18888.75,16.666666666666664,6.25
2016-02-26,19364.150391,31.25,6.25
2016-02-29,19111.929688,18.75,6.25
2016-03-01,19407.460938,37.5,6.25
2016-03-02,20003.490234,58.33333333333334,10.416666666666668
2016-03-03,19941.759766,60.41666666666666,10.416666666666668
2016-03-04,20176.699219,70.83333333333334,12.5
2016-03-07,20159.720703,72.91666666666666,16.666666666666664
2016-03-08,20011.580078,66.66666666666666,10.416666666666668
2016-03-09,19996.259766,70.83333333333334,10.416666666666668
2016-03-10,19984.419922,70.83333333333334,12.5
2016-03-11,20199.599609,75.0,14.583333333333336
2015-05-27,28081.210938,80.85106382978722,80.85106382978722
2015-05-28,27454.310547000005,65.95744680851064,76.59574468085106
2015-05-29,27424.189452999995,63.829787234042556,76.59574468085106
2015-06-01,27597.160156,65.95744680851064,76.59574468085106
2015-06-02,27466.720702999995,61.70212765957447,76.59574468085106
2015-03-18,24120.080078,29.78723404255319,51.06382978723404
2015-03-19,24468.890625,36.17021276595745,57.44680851063831
2015-03-20,24375.240234,38.29787234042553,53.19148936170214
2015-03-23,24494.509766,38.29787234042553,57.44680851063831
2015-03-24,24399.599609,38.29787234042553,59.57446808510638
2015-03-25,24528.230469,40.42553191489361,59.57446808510638
2015-03-26,24497.080078,42.5531914893617,59.57446808510638
2015-03-27,24486.199219,40.42553191489361,59.57446808510638
2015-03-30,24855.119141,53.19148936170214,59.57446808510638
2015-03-31,24900.890625,59.57446808510638,59.57446808510638
2015-04-01,25082.75,63.829787234042556,61.70212765957447
2015-04-02,25275.640625,70.21276595744679,59.57446808510638
2015-04-08,26236.859375,80.85106382978722,68.08510638297872
2015-04-09,26944.390625,89.36170212765957,76.59574468085106
2015-04-10,27272.390625,93.61702127659576,78.72340425531915
2015-04-13,28016.339844,93.61702127659576,80.85106382978722
2015-04-14,27561.490233999997,89.36170212765957,76.59574468085106
2015-04-15,27618.820313,85.1063829787234,78.72340425531915
2015-04-16,27739.710938,85.1063829787234,78.72340425531915
2015-04-17,27653.11914100001,87.23404255319151,76.59574468085106
2015-04-20,27094.929688,80.85106382978722,76.59574468085106
2015-04-21,27850.490233999997,85.1063829787234,78.72340425531915
2015-04-22,27933.849608999997,85.1063829787234,80.85106382978722
2015-04-23,27827.699219,87.23404255319151,80.85106382978722
2015-04-24,28060.980469,91.48936170212765,82.97872340425532
2015-04-27,28433.589844,93.61702127659576,85.1063829787234
2015-04-28,28442.75,91.48936170212765,85.1063829787234
2015-04-29,28400.339844,89.36170212765957,82.97872340425532
2015-04-30,28133.0,91.48936170212765,85.1063829787234
2015-05-04,28123.820313,95.74468085106385,85.1063829787234
2015-05-05,27755.539063,89.36170212765957,85.1063829787234
2015-05-06,27640.910156,89.36170212765957,82.97872340425532
2015-05-07,27289.970702999995,87.23404255319151,80.85106382978722
2015-05-08,27577.339844,89.36170212765957,82.97872340425532
2015-05-11,27718.199219,89.36170212765957,82.97872340425532
2015-05-12,27407.179688,87.23404255319151,78.72340425531915
2015-05-13,27249.279297000005,80.85106382978722,80.85106382978722
2015-05-14,27286.550781,82.97872340425532,78.72340425531915
2015-05-15,27822.279297000005,89.36170212765957,82.97872340425532
2015-05-18,27591.25,85.1063829787234,80.85106382978722
2015-05-19,27693.539063,82.97872340425532,80.85106382978722
2015-05-20,27585.050781,82.97872340425532,80.85106382978722
2015-05-21,27523.720702999995,78.72340425531915,80.85106382978722
2015-05-22,27992.830077999995,85.1063829787234,80.85106382978722
2015-05-26,28249.859375,85.1063829787234,80.85106382978722
2014-12-08,24047.669922,57.44680851063831,63.829787234042556
2014-12-09,23485.830078,48.93617021276596,57.44680851063831
2014-12-10,23524.519531,44.680851063829785,53.19148936170214
2014-12-11,23312.539063,40.42553191489361,51.06382978723404
2014-12-12,23249.199219,34.04255319148936,53.19148936170214
2014-12-15,23027.849609,29.78723404255319,51.06382978723404
2014-12-16,22670.5,25.53191489361702,51.06382978723404
2014-12-17,22585.839844,25.53191489361702,48.93617021276596
2014-12-18,22832.210938,23.40425531914893,48.93617021276596
2014-12-19,23116.630859,29.78723404255319,48.93617021276596
2014-12-22,23408.570313,34.04255319148936,51.06382978723404
2014-12-23,23333.689453,31.914893617021278,48.93617021276596
2014-12-24,23349.339844,42.5531914893617,51.06382978723404
2014-12-29,23773.179688,44.680851063829785,55.319148936170215
2014-12-30,23501.099609,44.680851063829785,53.19148936170214
2014-12-31,23605.039063,46.80851063829788,53.19148936170214
2015-01-02,23721.300781,48.93617021276596,55.319148936170215
2015-01-05,23721.320313,42.5531914893617,51.06382978723404
2015-01-06,23485.410156,40.42553191489361,53.19148936170214
2015-01-07,23681.259766,44.680851063829785,53.19148936170214
2015-01-08,23835.529297,51.06382978723404,57.44680851063831
2015-01-09,23919.949219,55.319148936170215,57.44680851063831
2015-01-12,24026.460938,57.44680851063831,59.57446808510638
2015-01-13,24215.970703,61.70212765957447,61.70212765957447
2015-01-14,24112.599609,63.829787234042556,61.70212765957447
2015-01-15,24350.910156,70.21276595744679,63.829787234042556
2015-01-16,24103.519531,61.70212765957447,55.319148936170215
2015-01-19,23738.490234,53.19148936170214,57.44680851063831
2015-01-20,23951.160156,55.319148936170215,57.44680851063831
2015-01-21,24352.580078,65.95744680851064,59.57446808510638
2015-01-22,24522.630859,68.08510638297872,59.57446808510638
2015-01-23,24850.449219,82.97872340425532,63.829787234042556
2015-01-26,24909.900391,82.97872340425532,65.95744680851064
2015-01-27,24807.279297,82.97872340425532,65.95744680851064
2015-01-28,24861.810547,80.85106382978722,65.95744680851064
2015-01-29,24595.849609,74.46808510638297,65.95744680851064
2015-01-30,24507.050781,70.21276595744679,68.08510638297872
2015-02-02,24484.740234,70.21276595744679,65.95744680851064
2015-02-03,24554.779297,76.59574468085106,68.08510638297872
2015-02-04,24679.759766,80.85106382978722,70.21276595744679
2015-02-05,24765.490234,78.72340425531915,70.21276595744679
2015-02-06,24679.390625,76.59574468085106,70.21276595744679
2015-02-09,24521.0,70.21276595744679,68.08510638297872
2015-02-10,24528.099609,70.21276595744679,70.21276595744679
2015-02-11,24315.019531,61.70212765957447,63.829787234042556
2015-02-12,24422.150391,63.829787234042556,63.829787234042556
2015-02-13,24682.539063,78.72340425531915,63.829787234042556
2015-02-16,24726.529297,78.72340425531915,63.829787234042556
2015-02-17,24784.880859,78.72340425531915,63.829787234042556
2015-02-18,24832.080078,78.72340425531915,65.95744680851064
2015-02-23,24836.759766,80.85106382978722,63.829787234042556
2015-02-24,24750.070313,74.46808510638297,63.829787234042556
2015-02-25,24778.279297,78.72340425531915,68.08510638297872
2015-02-26,24902.060547,74.46808510638297,68.08510638297872
2015-02-27,24823.289063,74.46808510638297,61.70212765957447
2015-03-02,24887.439453,70.21276595744679,59.57446808510638
2015-03-03,24702.779297,65.95744680851064,61.70212765957447
2015-03-04,24465.380859,48.93617021276596,61.70212765957447
